"","x"
"1","Ameland_2016"
"2","Ameland_2018"
"3","Amsterdam_2014"
"4","Amsterdam_2016"
"5","Amsterdam_2017"
"6","Amsterdam_2018"
"7","Baarle-Nassau_2014"
"8","Baarle-Nassau_2015"
"9","Baarle-Nassau_2017"
"10","Beesel_2014"
"11","Blaricum_2014"
"12","Blaricum_2015"
"13","Blaricum_2016"
"14","Blaricum_2017"
"15","Blaricum_2018"
"16","Bloemendaal_2014"
"17","Bloemendaal_2015"
"18","Bloemendaal_2016"
"19","Bloemendaal_2017"
"20","Bloemendaal_2018"
"21","Bunnik_2016"
"22","Bunschoten_2018"
"23","Dantumadiel_2014"
"24","De Marne_2018"
"25","Diemen_2014"
"26","Dongeradeel_2018"
"27","Drimmelen_2018"
"28","Enkhuizen_2014"
"29","Haarlemmerliede en Spaarnwoude_2017"
"30","Haarlemmerliede en Spaarnwoude_2018"
"31","Heemstede_2014"
"32","Heerlen_2014"
"33","Heerlen_2015"
"34","Heerlen_2016"
"35","Heerlen_2018"
"36","Hulst_2016"
"37","Korendijk_2016"
"38","Krimpen aan den IJssel_2014"
"39","Laren (NH.)_2014"
"40","Laren (NH.)_2015"
"41","Laren (NH.)_2016"
"42","Laren (NH.)_2017"
"43","Laren (NH.)_2018"
"44","Loppersum_2014"
"45","Loppersum_2016"
"46","Loppersum_2018"
"47","Maasgouw_2016"
"48","Mill en Sint Hubert_2015"
"49","Mook en Middelaar_2014"
"50","Nunspeet_2016"
"51","Nuth_2018"
"52","Oldambt_2015"
"53","Olst-Wijhe_2016"
"54","Oud-Beijerland_2015"
"55","Pekela_2014"
"56","Pekela_2017"
"57","Pekela_2018"
"58","Putten_2017"
"59","Raalte_2016"
"60","Raalte_2017"
"61","Reimerswaal_2016"
"62","Rheden_2014"
"63","Rozendaal_2014"
"64","Rozendaal_2015"
"65","Rozendaal_2016"
"66","Rozendaal_2017"
"67","Rozendaal_2018"
"68","Schiermonnikoog_2014"
"69","Schiermonnikoog_2015"
"70","Schiermonnikoog_2016"
"71","Schiermonnikoog_2018"
"72","Schouwen-Duiveland_2014"
"73","Sluis_2014"
"74","Sluis_2015"
"75","Sluis_2016"
"76","Sluis_2017"
"77","Sluis_2018"
"78","Staphorst_2015"
"79","Staphorst_2018"
"80","Steenwijkerland_2014"
"81","Terneuzen_2018"
"82","Terschelling_2014"
"83","Terschelling_2015"
"84","Terschelling_2018"
"85","Tytsjerksteradiel_2016"
"86","Uitgeest_2014"
"87","Urk_2014"
"88","Urk_2015"
"89","Urk_2016"
"90","Urk_2017"
"91","Urk_2018"
"92","Utrecht (gemeente)_2018"
"93","Vaals_2014"
"94","Vaals_2015"
"95","Vaals_2016"
"96","Vaals_2017"
"97","Vaals_2018"
"98","Veere_2016"
